"No.","Time","Source","Destination","Protocol","Length","Info"
"19613","276.875414","10.0.0.6","10.0.0.1","TCP","54","0  >  6051 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19614","276.878288","10.0.0.2","10.0.0.6","TCP","1514","30471  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19615","276.878328","10.0.0.6","10.0.0.2","TCP","54","0  >  30471 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19624","276.900460","10.0.0.1","10.0.0.6","X11","574","Event: <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>, <Unknown eventcode 88>"
"19625","276.900528","10.0.0.6","10.0.0.1","TCP","54","0  >  6052 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19632","276.916536","10.0.0.2","10.0.0.6","TCP","574","30473  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19634","276.916570","10.0.0.6","10.0.0.2","TCP","54","0  >  30473 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19638","276.926364","10.0.0.1","10.0.0.6","TCP","574","7221  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19639","276.926386","10.0.0.6","10.0.0.1","TCP","54","0  >  7221 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19642","276.932374","10.0.0.2","10.0.0.6","TCP","574","33073  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19644","276.932403","10.0.0.6","10.0.0.2","TCP","54","0  >  33073 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19648","276.941493","10.0.0.1","10.0.0.6","TCP","1514","8793  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19649","276.941509","10.0.0.6","10.0.0.1","TCP","54","0  >  8793 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19651","276.945127","10.0.0.1","10.0.0.6","TCP","1514","9173  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19652","276.945136","10.0.0.6","10.0.0.1","TCP","54","0  >  9173 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19658","276.960436","10.0.0.2","10.0.0.6","TCP","574","33888  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19660","276.960461","10.0.0.6","10.0.0.2","TCP","54","0  >  33888 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19661","276.962855","10.0.0.2","10.0.0.6","TCP","574","36312  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19662","276.962862","10.0.0.6","10.0.0.2","TCP","54","0  >  36312 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19682","277.010861","10.0.0.1","10.0.0.6","TCP","574","9302  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19684","277.010894","10.0.0.6","10.0.0.1","TCP","54","0  >  9302 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19686","277.015475","10.0.0.2","10.0.0.6","TCP","574","36584  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19687","277.015503","10.0.0.6","10.0.0.2","TCP","54","0  >  36584 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19690","277.021502","10.0.0.2","10.0.0.6","TCP","574","39354  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19691","277.021548","10.0.0.6","10.0.0.2","TCP","54","0  >  39354 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19693","277.024262","10.0.0.1","10.0.0.6","TCP","574","12191  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19695","277.024309","10.0.0.6","10.0.0.1","TCP","54","0  >  12191 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19697","277.028622","10.0.0.2","10.0.0.6","TCP","1514","39394  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19698","277.028647","10.0.0.6","10.0.0.2","TCP","54","0  >  39394 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19708","277.051585","10.0.0.2","10.0.0.6","TCP","574","39471  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19709","277.051611","10.0.0.6","10.0.0.2","TCP","54","0  >  39471 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19711","277.056843","10.0.0.1","10.0.0.6","TCP","574","13781  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19713","277.056857","10.0.0.6","10.0.0.1","TCP","54","0  >  13781 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19715","277.060720","10.0.0.2","10.0.0.6","TCP","574","41459  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19716","277.060734","10.0.0.6","10.0.0.2","TCP","54","0  >  41459 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19721","277.071872","10.0.0.1","10.0.0.6","TCP","574","15985  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19722","277.071896","10.0.0.6","10.0.0.1","TCP","54","0  >  15985 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19725","277.077774","10.0.0.1","10.0.0.6","TCP","574","17007  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19726","277.077802","10.0.0.6","10.0.0.1","TCP","54","0  >  17007 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19730","277.088190","10.0.0.2","10.0.0.6","TCP","574","41853  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19733","277.088217","10.0.0.6","10.0.0.2","TCP","54","0  >  41853 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19735","277.092286","10.0.0.2","10.0.0.6","TCP","1514","43434  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19736","277.092294","10.0.0.6","10.0.0.2","TCP","54","0  >  43434 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19744","277.110197","10.0.0.1","10.0.0.6","TCP","574","17107  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19745","277.110231","10.0.0.6","10.0.0.1","TCP","54","0  >  17107 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19747","277.113662","10.0.0.1","10.0.0.6","TCP","1514","20296  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19748","277.113671","10.0.0.6","10.0.0.1","TCP","54","0  >  20296 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19752","277.122595","10.0.0.2","10.0.0.6","TCP","574","43436  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19753","277.122606","10.0.0.6","10.0.0.2","TCP","54","0  >  43436 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19755","277.127657","10.0.0.2","10.0.0.6","TCP","574","44819  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19757","277.127675","10.0.0.6","10.0.0.2","TCP","54","0  >  44819 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19758","277.128917","10.0.0.2","10.0.0.6","TCP","574","44821  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19759","277.128929","10.0.0.6","10.0.0.2","TCP","54","0  >  44821 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19762","277.135513","10.0.0.1","10.0.0.6","TCP","574","20297  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19764","277.135527","10.0.0.6","10.0.0.1","TCP","54","0  >  20297 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19768","277.145215","10.0.0.1","10.0.0.6","TCP","574","20300  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19769","277.145241","10.0.0.6","10.0.0.1","TCP","54","0  >  20300 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19786","277.186358","10.0.0.1","10.0.0.6","TCP","574","21126  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19788","277.186397","10.0.0.6","10.0.0.1","TCP","54","0  >  21126 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19791","277.194809","10.0.0.1","10.0.0.6","TCP","574","23106  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19793","277.194854","10.0.0.6","10.0.0.1","TCP","54","0  >  23106 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19795","277.199017","10.0.0.2","10.0.0.6","TCP","574","45415  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19796","277.199045","10.0.0.6","10.0.0.2","TCP","54","0  >  45415 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19799","277.203015","10.0.0.1","10.0.0.6","TCP","1514","23700  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19800","277.203054","10.0.0.6","10.0.0.1","TCP","54","0  >  23700 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19806","277.218331","10.0.0.2","10.0.0.6","TCP","574","50308  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19807","277.218363","10.0.0.6","10.0.0.2","TCP","54","0  >  50308 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19811","277.228443","10.0.0.2","10.0.0.6","TCP","1514","50314  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19812","277.228495","10.0.0.6","10.0.0.2","TCP","54","0  >  50314 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19829","277.266026","10.0.0.1","10.0.0.6","TCP","574","23972  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19831","277.266055","10.0.0.6","10.0.0.1","TCP","54","0  >  23972 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19832","277.268881","10.0.0.2","10.0.0.6","TCP","574","50475  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19833","277.268899","10.0.0.6","10.0.0.2","TCP","54","0  >  50475 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19843","277.293020","10.0.0.1","10.0.0.6","TCP","574","27924  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19845","277.293046","10.0.0.6","10.0.0.1","TCP","54","0  >  27924 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19849","277.303174","10.0.0.2","10.0.0.6","TCP","574","52528  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19851","277.303198","10.0.0.6","10.0.0.2","TCP","54","0  >  52528 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19854","277.310436","10.0.0.1","10.0.0.6","TCP","574","29144  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19855","277.310456","10.0.0.6","10.0.0.1","TCP","54","0  >  29144 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19858","277.316202","10.0.0.2","10.0.0.6","TCP","574","54355  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19859","277.316215","10.0.0.6","10.0.0.2","TCP","54","0  >  54355 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19862","277.323992","10.0.0.2","10.0.0.6","TCP","574","54770  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19865","277.324030","10.0.0.6","10.0.0.2","TCP","54","0  >  54770 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19871","277.340329","10.0.0.2","10.0.0.6","TCP","1514","54773  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19872","277.340351","10.0.0.6","10.0.0.2","TCP","54","0  >  54773 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19875","277.345631","10.0.0.1","10.0.0.6","TCP","574","30340  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19876","277.345640","10.0.0.6","10.0.0.1","TCP","54","0  >  30340 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19878","277.349101","10.0.0.2","10.0.0.6","TCP","574","55221  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19879","277.349113","10.0.0.6","10.0.0.2","TCP","54","0  >  55221 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19882","277.356295","10.0.0.1","10.0.0.6","TCP","574","32438  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19884","277.356306","10.0.0.6","10.0.0.1","TCP","54","0  >  32438 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19887","277.364771","10.0.0.1","10.0.0.6","TCP","574","32899  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19889","277.364784","10.0.0.6","10.0.0.1","TCP","54","0  >  32899 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19893","277.374586","10.0.0.2","10.0.0.6","TCP","574","55405  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19895","277.374605","10.0.0.6","10.0.0.2","TCP","54","0  >  55405 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19896","277.377470","10.0.0.2","10.0.0.6","TCP","574","55876  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19897","277.377478","10.0.0.6","10.0.0.2","TCP","54","0  >  55876 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19908","277.404202","10.0.0.2","10.0.0.6","TCP","574","56225  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19909","277.404204","10.0.0.1","10.0.0.6","TCP","574","32901  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19911","277.404238","10.0.0.6","10.0.0.2","TCP","54","0  >  56225 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19912","277.404243","10.0.0.6","10.0.0.1","TCP","54","0  >  32901 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19914","277.406630","10.0.0.2","10.0.0.6","TCP","1514","58205  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19915","277.406642","10.0.0.6","10.0.0.2","TCP","54","0  >  58205 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19916","277.409037","10.0.0.1","10.0.0.6","TCP","1514","34843  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19917","277.409045","10.0.0.6","10.0.0.1","TCP","54","0  >  34843 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19921","277.418194","10.0.0.1","10.0.0.6","TCP","574","35310  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19922","277.418196","10.0.0.2","10.0.0.6","TCP","1514","58729  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19923","277.418226","10.0.0.6","10.0.0.1","TCP","54","0  >  35310 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19924","277.418230","10.0.0.6","10.0.0.2","TCP","54","0  >  58729 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19929","277.429374","10.0.0.1","10.0.0.6","TCP","574","36050  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19930","277.429398","10.0.0.6","10.0.0.1","TCP","54","0  >  36050 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19933","277.436216","10.0.0.2","10.0.0.6","TCP","574","[TCP Previous segment not captured] 59440  >  0 [<None>] Seq=1586073576 Win=512 Len=2000"
"19935","277.436227","10.0.0.6","10.0.0.2","TCP","54","[TCP ACKed unseen segment] 0  >  59440 [RST, ACK] Seq=1 Ack=1586075576 Win=0 Len=0"
"19940","277.449784","10.0.0.2","10.0.0.6","TCP","574","60604  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19942","277.449808","10.0.0.6","10.0.0.2","TCP","54","0  >  60604 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19943","277.452208","10.0.0.2","10.0.0.6","TCP","1514","60610  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19944","277.452214","10.0.0.6","10.0.0.2","TCP","54","0  >  60610 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19946","277.455547","10.0.0.1","10.0.0.6","TCP","574","36200  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19948","277.455558","10.0.0.6","10.0.0.1","TCP","54","0  >  36200 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19949","277.459638","10.0.0.2","10.0.0.6","TCP","1514","61113  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19950","277.459647","10.0.0.6","10.0.0.2","TCP","54","0  >  61113 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19952","277.462295","10.0.0.1","10.0.0.6","TCP","574","38217  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19953","277.462316","10.0.0.6","10.0.0.1","TCP","54","0  >  38217 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19955","277.467189","10.0.0.2","10.0.0.6","TCP","574","61230  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19957","277.467205","10.0.0.6","10.0.0.2","TCP","54","0  >  61230 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19968","277.494248","10.0.0.2","10.0.0.6","TCP","574","61459  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19970","277.494276","10.0.0.6","10.0.0.2","TCP","54","0  >  61459 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19971","277.497101","10.0.0.2","10.0.0.6","TCP","574","64328  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19972","277.497121","10.0.0.6","10.0.0.2","TCP","54","0  >  64328 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19979","277.512212","10.0.0.2","10.0.0.6","TCP","574","64329  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19980","277.512241","10.0.0.6","10.0.0.2","TCP","54","0  >  64329 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19988","277.530406","10.0.0.1","10.0.0.6","TCP","574","38219  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19989","277.530448","10.0.0.6","10.0.0.1","TCP","54","0  >  38219 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19993","277.540273","10.0.0.1","10.0.0.6","TCP","574","42801  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19995","277.540301","10.0.0.6","10.0.0.1","TCP","54","0  >  42801 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19997","277.542789","10.0.0.2","10.0.0.6","TCP","574","64333  >  0 [<None>] Seq=1 Win=512 Len=2000"
"19998","277.542879","10.0.0.6","10.0.0.2","TCP","54","0  >  64333 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"19999","277.543545","10.0.0.1","10.0.0.6","TCP","1514","43303  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20000","277.543621","10.0.0.6","10.0.0.1","TCP","54","0  >  43303 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20002","277.546814","10.0.0.2","10.0.0.6","TCP","1514","472  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20003","277.546839","10.0.0.6","10.0.0.2","TCP","54","0  >  472 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20005","277.550353","10.0.0.1","10.0.0.6","TCP","1514","43323  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20006","277.550370","10.0.0.6","10.0.0.1","TCP","54","0  >  43323 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20012","277.566391","10.0.0.1","10.0.0.6","TCP","574","44020  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20014","277.566431","10.0.0.6","10.0.0.1","TCP","54","0  >  44020 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20023","277.587426","10.0.0.2","10.0.0.6","TCP","574","1128  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20025","277.587449","10.0.0.6","10.0.0.2","TCP","54","0  >  1128 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20026","277.589851","10.0.0.2","10.0.0.6","TCP","574","3014  >  0 [<None>] Seq=1 Win=512 Len=2000 [TCP segment of a reassembled PDU]"
"20027","277.589858","10.0.0.6","10.0.0.2","TCP","54","0  >  3014 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20030","277.597118","10.0.0.2","10.0.0.6","TCP","574","3017  >  0 [<None>] Seq=1 Win=512 Len=2000 [TCP segment of a reassembled PDU]"
"20032","277.597122","10.0.0.1","10.0.0.6","TCP","1514","46091  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20033","277.597140","10.0.0.6","10.0.0.2","TCP","54","0  >  3017 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20034","277.597143","10.0.0.6","10.0.0.1","TCP","54","0  >  46091 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20037","277.602228","10.0.0.1","10.0.0.6","TCP","1514","46168  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20038","277.602243","10.0.0.6","10.0.0.1","TCP","54","0  >  46168 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20041","277.608745","10.0.0.2","10.0.0.6","TCP","1514","3102  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20042","277.608753","10.0.0.6","10.0.0.2","TCP","54","0  >  3102 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20047","277.619576","10.0.0.2","10.0.0.6","TCP","574","4183  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20048","277.619627","10.0.0.6","10.0.0.2","TCP","54","0  >  4183 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20051","277.623846","10.0.0.2","10.0.0.6","TCP","1514","4494  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20052","277.623885","10.0.0.6","10.0.0.2","TCP","54","0  >  4494 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20055","277.632221","10.0.0.2","10.0.0.6","TCP","574","4575  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20057","277.632284","10.0.0.6","10.0.0.2","TCP","54","0  >  4575 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20059","277.637038","10.0.0.1","10.0.0.6","TCP","574","46675  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20060","277.637065","10.0.0.6","10.0.0.1","TCP","54","0  >  46675 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20069","277.656843","10.0.0.1","10.0.0.6","TCP","574","47460  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20070","277.656863","10.0.0.6","10.0.0.1","TCP","54","0  >  47460 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20076","277.671837","10.0.0.1","10.0.0.6","TCP","574","48744  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20078","277.671866","10.0.0.6","10.0.0.1","TCP","54","0  >  48744 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20079","277.672935","10.0.0.2","10.0.0.6","TCP","574","5268  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20080","277.672955","10.0.0.6","10.0.0.2","TCP","54","0  >  5268 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20086","277.688006","10.0.0.2","10.0.0.6","TCP","574","6858  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20088","277.688030","10.0.0.6","10.0.0.2","TCP","54","0  >  6858 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20090","277.692851","10.0.0.1","10.0.0.6","TCP","574","48926  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20092","277.692863","10.0.0.6","10.0.0.1","TCP","54","0  >  48926 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20095","277.698324","10.0.0.2","10.0.0.6","TCP","1514","7906  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20096","277.698340","10.0.0.6","10.0.0.2","TCP","54","0  >  7906 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20106","277.723222","10.0.0.1","10.0.0.6","TCP","574","49808  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20107","277.723243","10.0.0.6","10.0.0.1","TCP","54","0  >  49808 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20109","277.724994","10.0.0.1","10.0.0.6","TCP","1514","50934  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20110","277.725069","10.0.0.6","10.0.0.1","TCP","54","0  >  50934 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20112","277.728337","10.0.0.1","10.0.0.6","TCP","1514","51255  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20113","277.728373","10.0.0.6","10.0.0.1","TCP","54","0  >  51255 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20115","277.731891","10.0.0.2","10.0.0.6","TCP","574","7971  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20116","277.731910","10.0.0.6","10.0.0.2","TCP","54","0  >  7971 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20120","277.741622","10.0.0.2","10.0.0.6","TCP","574","9200  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20121","277.741624","10.0.0.1","10.0.0.6","TCP","1514","51440  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20122","277.741650","10.0.0.6","10.0.0.2","TCP","54","0  >  9200 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20123","277.741755","10.0.0.6","10.0.0.1","TCP","54","0  >  51440 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20125","277.744371","10.0.0.2","10.0.0.6","TCP","1514","9592  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20126","277.744416","10.0.0.6","10.0.0.2","TCP","54","0  >  9592 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20128","277.747993","10.0.0.1","10.0.0.6","TCP","1514","52045  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20129","277.748019","10.0.0.6","10.0.0.1","TCP","54","0  >  52045 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20137","277.769169","10.0.0.2","10.0.0.6","TCP","574","9863  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20139","277.769192","10.0.0.6","10.0.0.2","TCP","54","0  >  9863 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20140","277.771590","10.0.0.2","10.0.0.6","TCP","574","10781  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20142","277.771599","10.0.0.6","10.0.0.2","TCP","54","0  >  10781 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20145","277.778377","10.0.0.1","10.0.0.6","TCP","574","52137  >  0 [<None>] Seq=1 Win=512 Len=2000"
"20146","277.778393","10.0.0.6","10.0.0.1","TCP","54","0  >  52137 [RST, ACK] Seq=1 Ack=2001 Win=0 Len=0"
"20148","277.783655","10.0.0.2","10.0.0.6","TCP","574","10911  >  0 [<None>] Seq=1 Win=512 Len=2000"
